date,daily_trips,avg_trip_duration_min,precip_mm,temp_avg_c,temp_max_c,temp_min_c
2022-01-01,592,42.14436936936937,19.3,11.6,13.9,10.0
2022-01-02,1248,27.255154914529914,1.0,11.4,15.6,3.9
2022-01-03,832,24.766145833333333,0.0,1.4,3.9,-4.3
2022-01-04,934,17.051034975017842,0.0,-2.7,2.2,-6.0
2022-01-05,914,9.90355579868709,6.1,3.2,8.9,0.0
2022-01-06,1297,16.57081727062452,0.0,4.9,6.1,2.2
2022-01-07,459,46.129230210602756,8.4,0.7,2.2,-2.1
2022-01-08,713,81.26122019635343,0.0,-2.5,0.0,-4.9
2022-01-09,636,57.7059748427673,2.8,1.4,5.6,-1.0
2022-01-10,859,98.95093131548313,0.0,1.6,5.6,-3.2
2022-01-11,683,34.492093704245974,0.0,-5.4,-3.2,-8.2
2022-01-12,1057,32.51843267108168,0.0,-1.9,5.6,-6.6
2022-01-13,1208,24.162720750551877,0.0,4.0,7.8,0.6
2022-01-14,1091,15.042682554231591,0.0,4.8,6.1,-5.5
2022-01-15,670,20.968407960199006,0.0,-6.7,-5.5,-10.5
2022-01-16,506,68.02213438735177,9.1,-8.0,4.4,-12.1
2022-01-17,730,10.88796803652968,26.9,3.9,7.8,1.7
2022-01-18,1042,12.422248880358286,0.0,1.8,3.3,-0.5
2022-01-19,1374,11.360225618631732,0.0,3.2,10.6,-1.6
2022-01-20,830,10.595722891566266,6.4,5.1,8.3,-4.9
2022-01-21,800,9.514270833333335,0.0,-6.0,-4.9,-9.3
2022-01-22,892,19.689312406576978,0.0,-5.9,-1.0,-9.9
2022-01-23,940,12.242074468085105,0.3,-0.7,3.3,-3.2
2022-01-24,1026,10.086159844054581,0.0,-0.2,3.3,-2.1
2022-01-25,1276,13.52912748171369,0.0,3.6,6.1,-1.0
2022-01-26,1149,7.822280243690165,0.0,-2.3,-1.0,-6.0
2022-01-27,1133,9.581553398058253,0.0,-4.2,0.0,-7.7
2022-01-28,894,13.096271439224457,2.8,0.1,1.7,-1.0
2022-01-29,111,32.033633633633634,12.4,-4.8,-1.0,-9.3
2022-01-30,295,40.40112994350282,0.0,-7.1,-2.7,-9.9
2022-01-31,571,39.84541739638062,0.0,-3.4,-1.0,-7.1
2022-02-01,765,16.20326797385621,0.0,-1.7,2.8,-4.3
2022-02-02,1028,8.806939040207522,0.0,2.3,5.6,-0.5
2022-02-03,653,11.220418580908627,10.7,6.4,8.9,3.9
2022-02-04,498,11.246720214190095,18.8,5.8,12.8,-2.1
2022-02-05,831,14.089751303650221,0.0,-2.8,-1.6,-6.0
2022-02-06,803,16.5024699045247,0.0,-4.8,0.0,-8.2
2022-02-07,777,8.907829257829258,3.8,0.5,4.4,-0.5
2022-02-08,1349,9.95001235483074,2.0,4.1,8.3,1.1
2022-02-09,1427,10.97771548703574,0.0,2.8,6.7,-0.5
2022-02-10,1558,13.431332905434317,0.0,6.3,13.3,1.1
2022-02-11,1769,20.532457132089693,0.0,8.6,13.3,2.8
2022-02-12,1983,19.662842494536896,0.0,11.8,15.6,5.6
2022-02-13,577,18.32203928365107,4.8,2.8,5.6,-3.2
2022-02-14,858,9.392754467754468,0.0,-4.3,-2.7,-7.7
2022-02-15,1081,13.467267961763799,0.0,-4.7,0.0,-7.7
2022-02-16,1362,16.26708272148801,0.0,1.6,8.3,-2.7
2022-02-17,1695,36.54615535889872,7.6,11.6,17.2,8.3
2022-02-18,1262,9.60717115689382,6.4,9.9,17.2,-2.1
2022-02-19,803,14.185699460356995,0.0,0.1,5.0,-3.8
2022-02-20,923,15.037721198988805,0.0,-2.6,2.2,-5.5
2022-02-21,1457,19.716151910318004,0.0,4.1,12.2,0.6
2022-02-22,1050,12.093968253968253,5.8,5.6,13.3,2.2
2022-02-23,1823,16.642987749131468,0.0,14.4,20.0,2.2
2022-02-24,1307,11.144414690130068,0.0,1.1,2.2,-1.6
2022-02-25,838,9.033233890214797,20.8,0.8,6.1,-2.7
2022-02-26,1198,16.259808013355592,0.0,-1.1,3.3,-4.3
2022-02-27,1066,17.97698561601001,0.0,2.4,8.9,-1.0
2022-02-28,1170,18.412991452991452,0.0,0.8,2.2,-2.7
2022-03-01,1510,7.61173289183223,0.0,2.6,8.9,-0.5
2022-03-02,1804,12.046239837398375,0.0,7.7,11.7,4.4
2022-03-03,1449,9.890993788819875,0.8,5.6,8.9,-3.8
2022-03-04,1465,12.551422070534697,0.0,-1.9,3.3,-5.5
2022-03-05,1459,15.756557002513135,0.0,3.1,7.2,-0.5
2022-03-06,1659,30.51279887482419,1.3,9.6,20.0,3.9
2022-03-07,1804,20.560606060606062,1.3,18.2,23.3,10.0
2022-03-08,1604,11.746467165419784,0.0,8.7,10.0,4.4
2022-03-09,732,9.51908014571949,14.7,3.2,5.0,0.6
2022-03-10,1660,10.266224899598393,0.0,4.0,10.0,0.0
