date,daily_trips
2022-01-01,592
2022-01-02,1248
2022-01-03,832
2022-01-04,934
2022-01-05,914
2022-01-06,1297
2022-01-07,459
2022-01-08,713
2022-01-09,636
2022-01-10,859
2022-01-11,683
2022-01-12,1057
2022-01-13,1208
2022-01-14,1091
2022-01-15,670
2022-01-16,506
2022-01-17,730
2022-01-18,1042
2022-01-19,1374
2022-01-20,830
2022-01-21,800
2022-01-22,892
2022-01-23,940
2022-01-24,1026
2022-01-25,1276
2022-01-26,1149
2022-01-27,1133
2022-01-28,894
2022-01-29,111
2022-01-30,295
2022-01-31,571
2022-02-01,765
2022-02-02,1028
2022-02-03,653
2022-02-04,498
2022-02-05,831
2022-02-06,803
2022-02-07,777
2022-02-08,1349
2022-02-09,1427
2022-02-10,1558
2022-02-11,1769
2022-02-12,1983
2022-02-13,577
2022-02-14,858
2022-02-15,1081
2022-02-16,1362
2022-02-17,1695
2022-02-18,1262
2022-02-19,803
2022-02-20,923
2022-02-21,1457
2022-02-22,1050
2022-02-23,1823
2022-02-24,1307
2022-02-25,838
2022-02-26,1198
2022-02-27,1066
2022-02-28,1170
2022-03-01,1510
2022-03-02,1804
2022-03-03,1449
2022-03-04,1465
2022-03-05,1459
2022-03-06,1659
2022-03-07,1804
2022-03-08,1604
2022-03-09,732
2022-03-10,1660
2022-03-11,1960
2022-03-12,460
2022-03-13,781
2022-03-14,1734
2022-03-15,2133
2022-03-16,2269
2022-03-17,1414
2022-03-18,2728
2022-03-19,2594
2022-03-20,1910
2022-03-21,2021
2022-03-22,2058
2022-03-23,1653
2022-03-24,1412
2022-03-25,2195
2022-03-26,1858
2022-03-27,1303
2022-03-28,1046
2022-03-29,1438
2022-03-30,1657
2022-03-31,1901
2022-04-01,1816
2022-04-02,2193
2022-04-03,1035
2022-04-04,1837
2022-04-05,2026
2022-04-06,1364
2022-04-07,952
2022-04-08,2553
2022-04-09,1933
2022-04-10,1500
2022-04-11,1926
2022-04-12,2380
2022-04-13,2572
2022-04-14,2323
2022-04-15,2849
2022-04-16,2333
2022-04-17,1300
2022-04-18,1467
2022-04-19,1635
2022-04-20,2344
2022-04-21,2135
2022-04-22,2847
2022-04-23,2927
